href,title,reviewNum,tag,brand,company,howToUse,ingredients,image,volume,price,totalScore,satisfactionScore,priceScore,rebuyScore,commenter,commentDate,commentContent,commentGood,commentBad
,,,,,,,,,,,100%,,,,shin*****,  5일 전    , 시원하고 부드럽습니다. ,,
,,,,,,,,,,,100%,,,,kim2*****,  6일 전    ," 두통째 쓰는중입니다.큰 단점이 없는 샴푸, 무난하게 쓰기에 좋습니다^^      ",,
,,,,,,,,,,,100%,,,,sinh***,  6일 전    , 빠른 배송 감사합니다 ,,
,,,,,,,,,,,100%,,,,bada*****,  7일 전    , 탈모 효과 있는것 같음시원해오      ,,
,,,,,,,,,,,100%,,,,og****,  7일 전    , 잘 쓰고있습니다~ 두통째인데  두피가 시원해요 ,,
,,,,,,,,,,,100%,,,,dlsq******,  7일 전    , 다른샴푸에비해 시원하고 좋아여 ,,
,,,,,,,,,,,100%,,,,dlsq******,  7일 전    , 다른샴푸에비해 많이 시원하고 좋네여 ,,
,,,,,,,,,,,100%,,,,altn*****,  7일 전    ," 멏년동안 안써본 삼푸들이 없었고, 해외직구며 비싼 제품들까지들 골고루 써봐는데 ㅎ이제서야 찾은거 같아 한시름 덜어습니다. ",,
,,,,,,,,,,,100%,,,,dltn*******,  7일 전    , 사용할때마다 두피가 시원한 느낌으로 잘 사용중입니다! ,,
,,,,,,,,,,,80%,,,,bisy***,  8일 전    , 다 죠은데 좀 지저분하게 써지네용 ㅋㅋㅋ 샴푸 쓰고나면 펌프 부분에 늘 거품이 왕창 붙어있어여 샴푸 몸통에도 쌓여있고      ,,
,,,,,,,,,,,,100%,100%,100%,K29327637152307260132,  8일 전    ,," 여름에 쓰기좋고 세척력도 괜찮은 편인거 같습니다., 사실 탈모샴푸로 별효과가 없다는건 알고있지만 그래도 매일쓰는 샴푸다보니 조금이라도 도움되는걸로 쓰려고하는데, 두피에 큰 자극도 없고 무엇보다 쫀득쫀득한 거품이 많이생겨서 뭔가 더 깨끗하게 씻길것같은 느낌이듭니다. 그리고 용기도 깔끔하고 화장실에 오래놔둬도 곰팡이 같은거 잘 안생길것같은 재질이라서 안심입니다.  ",
https://daedamo.com/ingre/27320?sca=탈모관련상품&overlaps=5,"
            블랙포레 두피 쿨&딥클린 탄산쿨링        ",962.0,탈모샴푸,블랙포레,애경산업,"미온수로 모발 및 두피를 충분히 적시고 제품의 적당량을 취하여 두피 및 모발에 가볍게 마사지하듯이 사용한 후 물로 깨끗이 감아낸다.
","정제수,소듐C14-16올레핀설포네이트,소듐메틸코코일타우레이트,코카미도프로필베타인,글리세린,아크릴레이트코폴리머,메틸퍼플루오로아이소부틸에터,메틸퍼플루오로부틸에터,소듐코코일알라니네이트,코카마이드메틸엠이에이,폴리쿼터늄-6,피피지-3카프릴릴에터,다이카프릴릴에터,라우릴알코올,폴리쿼터늄-10,폴리쿼터늄-39,판테놀,살리실릭애씨드,카프릴릴글라이콜,나이아신아마이드,탄산수,검정콩추출물,바오밥나무씨추출물,프로판다이올,마카다미아씨오일,하이알루로닉애씨드,하이드롤라이즈드하이알루로닉애씨드,소듐하이알루로네이트,에탄올,블루플래그아이리스추출물,병풀추출물,편백잎추출물,부틸렌글라이콜,백미꽃추출물,금불초꽃추출물,영릉향추출물,바이오틴,소듐벤조에이트,벤조익애씨드,멘톨,향료,시트랄,리모넨,리날룰",https://daedamo.com/new/data/file/ingre/2105766459_6su73bUR_397a04ec156c8d061ce7599eae9ef18d600db4b0.png,500ml,"41,500원",,80%,80%,100%,K2646350517,  3달 전    ,," 앞머리 모발이식 13년전에 하고는 프로스카 띄엄띄엄 먹었는데, 정수리 광탈  시작.ㅠ.ㅠ
곧바로 미녹실딜 / 다모다트 진행했고, 1월에 요 샴푸 쿠팡인가에서 행사했을때, 사악한 가격 보고 그냥 속는다 치고 샀는데... 와놔. 이거는  엘땡 건강 닥터 사기꾼 , 태평레 뤼어 따위어 탈모이름조차 꺼내면 안되는 쓰레기와는 확실히 두피열 / 각질 / 비듬 개선요과 뚜렸함.
아시다시피 샴푸는 머리 나는거랑 직접적인 상관없음!
두피열도 사실 기분탓이지만, ..ㅎㅎ. 미녹실딜로 확장된 내 두피모낭을 쾌적한 환경으로 만들어주는거라 보면됨.
발포 기술? 요고 손등에 살짝 문질러 보면 무슨 매직 같음. 부글부글 공기방울이 커짐.ㅋㅋ 신기함.
여튼 비싸서, 딱 두번만 짜는데, 거품 장난 아님. 부글부글
그냥 속는셈 치고 한번씩들 써보삼.
나는 만족함. 좀만 더 할인해주삼. 그 스댕 용기 말고, 리필로 만들어서 가격 내려주삼. 그럼 세번 퍼핑하겠음.ㅋㅋㅋㅋ "," 스댕 용기 개 이쁘고 좋은데, 원가 너무 비싸서 내가 보기에는 가격이 높은 최대 원인인듯함.
요고, 19900원짜리 튜브로 만들어주삼.~ㅠ.ㅠ
그리고 좀 흐르면 굳는데, 요고.. 피같은 내돈 아까움.ㅠ.ㅠ
근데 장점이 다 커버함.          "
,,,,,,,,,,,100%,,,,dark****,  8일 전    , 올여름도 이 샴푸가 나의 머리털을 케어해주는구나~~^^      ,,
,,,,,,,,,,,60%,,,,antp*****,  8일 전    , 아직은 모르겠고 좀더 써봐야 ,,
,,,,,,,,,,,100%,,,,pjja****,  8일 전    , 시원하고 두피열감이 떨어져요~ ,,
,,,,,,,,,,,100%,,,,gusw***,  9일 전    , 2번째 구매입니다.남편이 두피도 시원해지고세정력도 좋아서 좋아합니다      ,,
,,,,,,,,,,,80%,,,,elle***,  9일 전    , 세정력은 보통인듯하구요..탈모효과는좀더써봐야될듯요자꾸 펌핑하고난뒤 질질흘러내려서좀 지저분해진다는게 아쉽네요      ,,
,,,,,,,,,,,100%,,,,pts9***,  10일 전    , 시원하게 잘 감기네요 좋아요      ,,
,,,,,,,,,,,100%,,,,junt****,  10일 전    , 드디어 좋은 샴푸를 찾았네요^^탄산거품이라 그런지 사용후에도 보이네요         ,,
,,,,,,,,,,,20%,,,,hye_*****,  11일 전    , 한달째 사용하는데 머리빠짐에 효과가 있는지 모르겠어요 더 빠지는거 같아요. 재구매 의사 없습니다      ,,
,,,,,,,,,,,100%,,,,c-****,  11일 전    , 아주 좋아요 포장도 깔끔하게 왔고 잘 쓰고 있답니다 ,,
,,,,,,,,,,,100%,,,,siju*****,  11일 전    , 두피가 시원해서 개운해요 ,,
,,,,,,,,,,,80%,,,,buda******,  11일 전    , 두피가 시원해서 열이 내리는 느낌이 들어요 지성두피라서 효과 기대해봅니다 탈모에도 좋을듯요      ,,
,,,,,,,,,,,100%,,,,rkdt******,  11일 전    , 감으면 시원하고 좋아요      ,,
,,,,,,,,,,,100%,,,,ciy1***,  12일 전    , 두피가 엄청 시원해지는 느낌이예요 ,,
,,,,,,,,,,,100%,,,,god1****,  12일 전    , 엄청 시원하고 좋았오요!! ,,
,,,,,,,,,,,100%,,,,gksk****,  12일 전    , 배송이 진짜 빨랐구요신랑꺼 써봤는데 좋아서 또 구매해요~~린스안해도 부드러웠어요!      ,,
,,,,,,,,,,,100%,,,,hell***,  13일 전    , 두피 건조함 삭제! 모발~모발! ,,
,,,,,,,,,,,100%,,,,jisu*****,  13일 전    , 샴푸하면 너무시원하고 상쾌해요 만족해요 ,,
,,,,,,,,,,,100%,,,,shin********,  13일 전    , 배송빠르고 시원하네요      ,,
,,,,,,,,,,,100%,,,,aote****,  13일 전    , 처음 써봤는데 가성비 좋고 깔끔해요 ,,
,,,,,,,,,,,100%,,,,dlac********,  14일 전    , 머리가.아주 시원하고 너무 좋네요 ,,
https://daedamo.com/ingre/27320?sca=탈모관련상품&overlaps=5,"
            블랙포레 두피 쿨&딥클린 탄산쿨링        ",962.0,탈모샴푸,블랙포레,애경산업,"미온수로 모발 및 두피를 충분히 적시고 제품의 적당량을 취하여 두피 및 모발에 가볍게 마사지하듯이 사용한 후 물로 깨끗이 감아낸다.
","정제수,소듐C14-16올레핀설포네이트,소듐메틸코코일타우레이트,코카미도프로필베타인,글리세린,아크릴레이트코폴리머,메틸퍼플루오로아이소부틸에터,메틸퍼플루오로부틸에터,소듐코코일알라니네이트,코카마이드메틸엠이에이,폴리쿼터늄-6,피피지-3카프릴릴에터,다이카프릴릴에터,라우릴알코올,폴리쿼터늄-10,폴리쿼터늄-39,판테놀,살리실릭애씨드,카프릴릴글라이콜,나이아신아마이드,탄산수,검정콩추출물,바오밥나무씨추출물,프로판다이올,마카다미아씨오일,하이알루로닉애씨드,하이드롤라이즈드하이알루로닉애씨드,소듐하이알루로네이트,에탄올,블루플래그아이리스추출물,병풀추출물,편백잎추출물,부틸렌글라이콜,백미꽃추출물,금불초꽃추출물,영릉향추출물,바이오틴,소듐벤조에이트,벤조익애씨드,멘톨,향료,시트랄,리모넨,리날룰",https://daedamo.com/new/data/file/ingre/2105766459_6su73bUR_397a04ec156c8d061ce7599eae9ef18d600db4b0.png,500ml,"41,500원",,80%,80%,100%,K2646350517,  3달 전    ,," 앞머리 모발이식 13년전에 하고는 프로스카 띄엄띄엄 먹었는데, 정수리 광탈  시작.ㅠ.ㅠ
곧바로 미녹실딜 / 다모다트 진행했고, 1월에 요 샴푸 쿠팡인가에서 행사했을때, 사악한 가격 보고 그냥 속는다 치고 샀는데... 와놔. 이거는  엘땡 건강 닥터 사기꾼 , 태평레 뤼어 따위어 탈모이름조차 꺼내면 안되는 쓰레기와는 확실히 두피열 / 각질 / 비듬 개선요과 뚜렸함.
아시다시피 샴푸는 머리 나는거랑 직접적인 상관없음!
두피열도 사실 기분탓이지만, ..ㅎㅎ. 미녹실딜로 확장된 내 두피모낭을 쾌적한 환경으로 만들어주는거라 보면됨.
발포 기술? 요고 손등에 살짝 문질러 보면 무슨 매직 같음. 부글부글 공기방울이 커짐.ㅋㅋ 신기함.
여튼 비싸서, 딱 두번만 짜는데, 거품 장난 아님. 부글부글
그냥 속는셈 치고 한번씩들 써보삼.
나는 만족함. 좀만 더 할인해주삼. 그 스댕 용기 말고, 리필로 만들어서 가격 내려주삼. 그럼 세번 퍼핑하겠음.ㅋㅋㅋㅋ "," 스댕 용기 개 이쁘고 좋은데, 원가 너무 비싸서 내가 보기에는 가격이 높은 최대 원인인듯함.
요고, 19900원짜리 튜브로 만들어주삼.~ㅠ.ㅠ
그리고 좀 흐르면 굳는데, 요고.. 피같은 내돈 아까움.ㅠ.ㅠ
근데 장점이 다 커버함.          "
,,,,,,,,,,,100%,,,,keit***,  14일 전    , 거품이 신기하네요 머리 감고 나면 개운해요      ,,
,,,,,,,,,,,40%,,,,dr****,  15일 전    , 광고보고 구매했는데 두피가 별로 시원하지 않네요-5도로 광고하는데 과장광고인 듯      ,,
,,,,,,,,,,,100%,,,,clsr*********,  15일 전    , 3일 사용해봤는데 세정력이... 샴푸후 트린트먼트를 사용해야할정도에요. 데일리로 사용은 ... 저한테는 아닌거같아요. ,,
,,,,,,,,,,,100%,,,,iams****,  16일 전    , 광고보고 구매했는데 생각보다 엄청 쿨링감이 있는건 아니지만 쫀쫀하니 세정력이 좋아요 ,,
,,,,,,,,,,,100%,,,,ansd*****,  17일 전    , 너무 시원하고 좋아요 베스트샴프!!굿!! ,,
,,,,,,,,,,,60%,,,,92****,  17일 전    , 시원하긴 한데 이게 탈모방지 효과가 있는지는 아직까지 모르겠네요 ,,
,,,,,,,,,,,80%,,,,chen***,  17일 전    , 시원하고 좋은데...사용후 삼푸입구에서 삼퓨가 질질 세네요      ,,
,,,,,,,,,,,100%,,,,wpkh***,  17일 전    , 머리가 시원해서 좋네요 ,,
,,,,,,,,,,,80%,,,,jesu*****,  17일 전    , 시원하고 좋으네요^^      ,,
,,,,,,,,,,,100%,,,,ekql****,  18일 전    , 재구매했는데 여름엔 아주좋은것 같아요 ,,
,,,,,,,,,,,100%,,,,yimj****,  18일 전    , 만족스럽게 사용중입니다 ,,
,,,,,,,,,,,100%,,,,rhdq****,  18일 전    , 어느 정도 기흠은 잡히는데 찐지성 분들은 2번은 써야 할 것 같아요. 그리고 사용 후 계속 제품이 나오고 거품이 생겨서 이부분은 좀 불편해요      ,,
,,,,,,,,,,,100%,,,,mix7***,  19일 전    , 두피가엄첫시원하네요~~~~~ ,,
,,,,,,,,,,,80%,,,,kidc*****,  19일 전    , 세정력은 좋습니다 탈모에 도움이 되는지는 잘 모르겠습니다      ,,
,,,,,,,,,,,100%,,,,seun*****,  19일 전    , 거품도 잘 나고 깨끗하게 잘 씻겨요!효과는 더 써봐야 알겠지만 향도 좋고 대체적으로 만족합니당      ,,
,,,,,,,,,,,100%,,,,minh******,  19일 전    , 지루성 두피염이 있으신 분들은 이거 꼭 쓰십셔      ,,
,,,,,,,,,,,100%,,,,cmg9****,  20일 전    , 이전에 쓰던 쿨+딥 다써서 새로운걸로 또 주문했어요~ 잘쓰고있습니다~!!      ,,
,,,,,,,,,,,100%,,,,mrsb******,  20일 전    , 두통째 구매입니다 여름에 진짜 이만한 샴푸가 없는것같아요! ,,
,,,,,,,,,,,100%,,,,1022***,  20일 전    , 엄청 시원해서 여름에 쓰기 정말 좋아요      ,,
,,,,,,,,,,,100%,,,,neof***,  21일 전    , 조아요 조아요 조아요 조아요 조아요 조아요 조아요 조아요 ,,
https://daedamo.com/ingre/27320?sca=탈모관련상품&overlaps=5,"
            블랙포레 두피 쿨&딥클린 탄산쿨링        ",962.0,탈모샴푸,블랙포레,애경산업,"미온수로 모발 및 두피를 충분히 적시고 제품의 적당량을 취하여 두피 및 모발에 가볍게 마사지하듯이 사용한 후 물로 깨끗이 감아낸다.
","정제수,소듐C14-16올레핀설포네이트,소듐메틸코코일타우레이트,코카미도프로필베타인,글리세린,아크릴레이트코폴리머,메틸퍼플루오로아이소부틸에터,메틸퍼플루오로부틸에터,소듐코코일알라니네이트,코카마이드메틸엠이에이,폴리쿼터늄-6,피피지-3카프릴릴에터,다이카프릴릴에터,라우릴알코올,폴리쿼터늄-10,폴리쿼터늄-39,판테놀,살리실릭애씨드,카프릴릴글라이콜,나이아신아마이드,탄산수,검정콩추출물,바오밥나무씨추출물,프로판다이올,마카다미아씨오일,하이알루로닉애씨드,하이드롤라이즈드하이알루로닉애씨드,소듐하이알루로네이트,에탄올,블루플래그아이리스추출물,병풀추출물,편백잎추출물,부틸렌글라이콜,백미꽃추출물,금불초꽃추출물,영릉향추출물,바이오틴,소듐벤조에이트,벤조익애씨드,멘톨,향료,시트랄,리모넨,리날룰",https://daedamo.com/new/data/file/ingre/2105766459_6su73bUR_397a04ec156c8d061ce7599eae9ef18d600db4b0.png,500ml,"41,500원",,80%,80%,100%,K2646350517,  3달 전    ,," 앞머리 모발이식 13년전에 하고는 프로스카 띄엄띄엄 먹었는데, 정수리 광탈  시작.ㅠ.ㅠ
곧바로 미녹실딜 / 다모다트 진행했고, 1월에 요 샴푸 쿠팡인가에서 행사했을때, 사악한 가격 보고 그냥 속는다 치고 샀는데... 와놔. 이거는  엘땡 건강 닥터 사기꾼 , 태평레 뤼어 따위어 탈모이름조차 꺼내면 안되는 쓰레기와는 확실히 두피열 / 각질 / 비듬 개선요과 뚜렸함.
아시다시피 샴푸는 머리 나는거랑 직접적인 상관없음!
두피열도 사실 기분탓이지만, ..ㅎㅎ. 미녹실딜로 확장된 내 두피모낭을 쾌적한 환경으로 만들어주는거라 보면됨.
발포 기술? 요고 손등에 살짝 문질러 보면 무슨 매직 같음. 부글부글 공기방울이 커짐.ㅋㅋ 신기함.
여튼 비싸서, 딱 두번만 짜는데, 거품 장난 아님. 부글부글
그냥 속는셈 치고 한번씩들 써보삼.
나는 만족함. 좀만 더 할인해주삼. 그 스댕 용기 말고, 리필로 만들어서 가격 내려주삼. 그럼 세번 퍼핑하겠음.ㅋㅋㅋㅋ "," 스댕 용기 개 이쁘고 좋은데, 원가 너무 비싸서 내가 보기에는 가격이 높은 최대 원인인듯함.
요고, 19900원짜리 튜브로 만들어주삼.~ㅠ.ㅠ
그리고 좀 흐르면 굳는데, 요고.. 피같은 내돈 아까움.ㅠ.ㅠ
근데 장점이 다 커버함.          "
,,,,,,,,,,,100%,,,,kiml*******,  21일 전    , 시원합니당~~^^* ,,
,,,,,,,,,,,100%,,,,ange*******,  23일 전    , 신랑이 꾸준히 사용하고있어요신랑이 좋다고하네요      ,,
,,,,,,,,,,,100%,,,,ryc6***,  23일 전    , 만족합니다. 많이파세요 ,,
,,,,,,,,,,,100%,,,,l_ho******,  23일 전    , 쿨링감이 끝내주네요 !!      ,,
,,,,,,,,,,,100%,,,,leec***,  23일 전    , 세정력과 시원함에 넘 좋네요 ,,
,,,,,,,,,,,100%,,,,bada*****,  24일 전    , 좋아요. 지성두피에 좋아요.      ,,
,,,,,,,,,,,100%,,,,ki****,  24일 전    , 배송도 빠르고 약한 쿨한 느낌에 세정력도 좋은듯해요 ,,
,,,,,,,,,,,100%,,,,youn*******,  24일 전    , 탈모인데 시원하게 되었습니다 ㅋㅋㅋ기분좋게 쓰고있습니다 ,,
,,,,,,,,,,,100%,,,,shfk***,  24일 전    , 배송빠르고 포장꼼꼼하네요!샴푸한번사용해봤는데 시원하게맘에듭니다!꾸준이사용해보고 후기다시올리겠습니다~      ,,
,,,,,,,,,,,100%,,,,shfk***,  24일 전    , 배송빨리오네요 포장도 신경써줘서 믿음이갑니다 꾸준히써볼게요~!      ,,
,,,,,,,,,,,100%,,,,ehfq*****,  24일 전    , 오늘 받아보고 바로 써봤는데 거품도 좋고 두피가 시원해요. 탈모 완화는 좀더 써봐야겠습니다      ,,
,,,,,,,,,,,100%,,,,dy****,  25일 전    , 빨리 잘 도착했어요 확실히 종전보다 머리카락이 덜 빠집니다 ,,
,,,,,,,,,,,100%,,,,cu****,  25일 전    , 진짜 뻥안치고 머리카락 빠지는게 확실히 줄었어요! 계속 이것만 쓸생각리에요 당분간! ,,
,,,,,,,,,,,100%,,,,oliv****,  25일 전    , 탈모나 양모는 잘 모르겠지만  세정은 좋은편. 아침엔 다른 샴푸 저녁 퇴근후엔  이 녀석으로 사용중      ,,
,,,,,,,,,,,100%,,,,sinh***,  25일 전    , 정말 시원하네요..탈모에 효과가 있는지는 모르겠지만 세정력은 매우만족합니다 ,,
,,,,,,,,,,,100%,,,,kjwo*****,  한 달 전    , 시원하니 쿨링감도 좋고 거품도 풍부합니다      ,,
,,,,,,,,,,,100%,,,,dark****,  한 달 전    ," 샴푸 너무좋니ㅣ요..벌써 다 써서 재구매 하려구요~~^^ 근데, 펌핑하고 나면 조금씩 흘러나와서 샴푸몸통에 묻어서 굳어있네요..그래도 좋아요~~^^      ",,
,,,,,,,,,,,100%,,,,tjxo*****,  한 달 전    , 거품이 잘나요 사용하기 편해요 ,,
,,,,,,,,,,,80%,,,,yf****,  한 달 전    , 저한테는 각질이 생기네요      ,,
,,,,,,,,,,,100%,,,,ye****,  한 달 전    ," 처음으로 파랑색통을 써보고 맘에 들어 이번엔 연두색으로 구매 했는데, 지성두피라 어떨지 모르겠어요.머리 감으면서 빠지는 머리카락은 좀 줄어든거 같긴해요. 다 좋은데 탄산때문에 잔여물이 떨어져서 통이 지저분해 지는건 불편하네요. ㅜ      ",,
https://daedamo.com/ingre/27320?sca=탈모관련상품&overlaps=5,"
            블랙포레 두피 쿨&딥클린 탄산쿨링        ",962.0,탈모샴푸,블랙포레,애경산업,"미온수로 모발 및 두피를 충분히 적시고 제품의 적당량을 취하여 두피 및 모발에 가볍게 마사지하듯이 사용한 후 물로 깨끗이 감아낸다.
","정제수,소듐C14-16올레핀설포네이트,소듐메틸코코일타우레이트,코카미도프로필베타인,글리세린,아크릴레이트코폴리머,메틸퍼플루오로아이소부틸에터,메틸퍼플루오로부틸에터,소듐코코일알라니네이트,코카마이드메틸엠이에이,폴리쿼터늄-6,피피지-3카프릴릴에터,다이카프릴릴에터,라우릴알코올,폴리쿼터늄-10,폴리쿼터늄-39,판테놀,살리실릭애씨드,카프릴릴글라이콜,나이아신아마이드,탄산수,검정콩추출물,바오밥나무씨추출물,프로판다이올,마카다미아씨오일,하이알루로닉애씨드,하이드롤라이즈드하이알루로닉애씨드,소듐하이알루로네이트,에탄올,블루플래그아이리스추출물,병풀추출물,편백잎추출물,부틸렌글라이콜,백미꽃추출물,금불초꽃추출물,영릉향추출물,바이오틴,소듐벤조에이트,벤조익애씨드,멘톨,향료,시트랄,리모넨,리날룰",https://daedamo.com/new/data/file/ingre/2105766459_6su73bUR_397a04ec156c8d061ce7599eae9ef18d600db4b0.png,500ml,"41,500원",,80%,80%,100%,K2646350517,  3달 전    ,," 앞머리 모발이식 13년전에 하고는 프로스카 띄엄띄엄 먹었는데, 정수리 광탈  시작.ㅠ.ㅠ
곧바로 미녹실딜 / 다모다트 진행했고, 1월에 요 샴푸 쿠팡인가에서 행사했을때, 사악한 가격 보고 그냥 속는다 치고 샀는데... 와놔. 이거는  엘땡 건강 닥터 사기꾼 , 태평레 뤼어 따위어 탈모이름조차 꺼내면 안되는 쓰레기와는 확실히 두피열 / 각질 / 비듬 개선요과 뚜렸함.
아시다시피 샴푸는 머리 나는거랑 직접적인 상관없음!
두피열도 사실 기분탓이지만, ..ㅎㅎ. 미녹실딜로 확장된 내 두피모낭을 쾌적한 환경으로 만들어주는거라 보면됨.
발포 기술? 요고 손등에 살짝 문질러 보면 무슨 매직 같음. 부글부글 공기방울이 커짐.ㅋㅋ 신기함.
여튼 비싸서, 딱 두번만 짜는데, 거품 장난 아님. 부글부글
그냥 속는셈 치고 한번씩들 써보삼.
나는 만족함. 좀만 더 할인해주삼. 그 스댕 용기 말고, 리필로 만들어서 가격 내려주삼. 그럼 세번 퍼핑하겠음.ㅋㅋㅋㅋ "," 스댕 용기 개 이쁘고 좋은데, 원가 너무 비싸서 내가 보기에는 가격이 높은 최대 원인인듯함.
요고, 19900원짜리 튜브로 만들어주삼.~ㅠ.ㅠ
그리고 좀 흐르면 굳는데, 요고.. 피같은 내돈 아까움.ㅠ.ㅠ
근데 장점이 다 커버함.          "
,,,,,,,,,,,100%,,,,pkh8***,  한 달 전    , 남편은 머리에 열도 많아서 탈모가 좀 빨리 온듯해서 주문해봤는데 열도 낮춰주고 시원해서 좋다고 하더라구요~ 계속 서보면 더 좋아지겠죠^^!      ,,
,,,,,,,,,,,100%,,,,daes******,  한 달 전    , 배송빠르네요 한달후기남기겠습니다~      ,,
,,,,,,,,,,,100%,,,,quee*******,  한 달 전    , 탈모방지 샴푸라는게 단기간에 효과는 알수없는거라 장기간 써봐야 알것같아요.      ,,
,,,,,,,,,,,100%,,,,msg0***,  한 달 전    , 진짜계속계속해서쓸거예요가격만조금더낮으면최고      ,,
,,,,,,,,,,,100%,,,,hyun********,  한 달 전    , 우연히 유투브에서 알게 되어서 써봤는데... 저의 고민거리를 많이 해결해 준 것 같아요.두피가 지성이라서 그런지 두피에 뾰루지가 많이 나고 가렵고 했는데 그런 증상이 많이 사라졌어요. 여전히 아침이면 기름 올라오고 하지만 평소에 가렵지 않아서 너무 좋아요. 뾰루지도 훨~씬 덜 나요. 한달 반정도 계속 쓰는데 너무 맘에 들어서 마침 라이브쇼핑 하길래 한개 더 구입했어요. 좋은 가격에 구입할수 있어서 좋았어요~ 샘플도 감사!      ,,
